Location,Type,Region,Venue,Street,Locality,Postcode,indoor,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Type1,Type2,NDF,Type3,Type4,Type5,Type6,Type7,Type8,Type9,Details
Kershaw Tannery,Sports or Cultural Organisation,Portwood,Kershaw Tannery,First floor,Water St,SK12BP,FALSE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,Health,Physical / Sport,TRUE,Social,,Events,,,,Educational,Ballroom and Latin dance classes
Christ with All Saints' Church,Community Group,Heaton Norris,Christ with All Saints' Church,All Saints Road,Heaton Norris,SK41QA,TRUE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Health,,FALSE,Social,Environmental,Events,Food / Drink,,,Educational,Monday: 7:30am - Morning Prayer 12:30pm Sunbeams tots and carers group. Tuesday: 7:30pm - 'Kaleidoscope' Prayer Group (2nd and 4th Tuesday of each month) Wednesday: 7:30am - Morning Prayer 6pm ? 7pm - Beavers 7pm ? 8pm Cubs 12:30-3:00pm - Children's
Elm Cottage Day Nursery Heaton Norris,Business,Heaton Norris,Elm Cottage Day Nursery Heaton Norris,11 Crescent Park,Heaton Norris,SK42HS,TRUE,Monday,Tuesday,Wednesday,Thursday,Friday,,,,,FALSE,,,,,,,Educational,Child care 3 months to 5 years. After-school care for school-age children aged 5-11 years. Also holiday play schemes. 2nd nursery at Orrishmere Primary School Cheadle Hulme. 3rd nursery at Thorn Grove Primary School Cheadle Hulme.
Charnwood Nursery,Charitable Trust or Foundation,Heaton Moor,Charnwood,St Paul's Road,Heaton Moor,SK44RY,TRUE,Monday,Tuesday,Wednesday,Thursday,Friday,,,Health,,FALSE,Social,,Events,,,Creative,Educational,Every afternoon from 1.30pm to 3.15pm we run an inclusive Opportunity Group for parent(s) and their children under 3 years. On a weekly basis parents and carers join in with their children in these ?stay and play? sessions. The emphasis is on play; the
St Paul's Church Heaton Moor,Community Group,Heaton Moor,St Paul's Church Heaton Moor,St Paul's Rd Heaton Moor Road,Heaton Moor,SK44RY,FALSE,Monday,Tuesday,Wednesday,Thursday,Friday,,,,,FALSE,,,,,,,Educational,Provides warm and caring environment for children to learn through play. Children accepted from approx. 2years 9 months.
Norris Bank Primary School,Community Group,Heaton Moor,Norris Bank Primary School,Green Lane,Heaton Moor,SK45JD,FALSE,Monday,Tuesday,Wednesday,Thursday,Friday,,,,,FALSE,Social,,,,,,,Care for children aged 4-11yrs old after school.
ARC,Charitable Organisation,Reddish,Unit 33m Vauxhall Industrial Estate,Greg Street,Reddish,SK57BR,TRUE,Monday,Tuesday,Wednesday,Thursday,Friday,,,Health,,FALSE,Social,,,,,Creative,Educational,Socially inclusive Arts organisation for adults with mental illness.
Crescent Road Community Centre,Community Group,Brinnington,Crescent Road Community Centre,Crescent Road,Portwood Brinnington,SK12QQ,TRUE,Monday,,,,,,,,Physical / Sport,TRUE,Social,,Events,,,Creative,,The Stroke Community Choir is open all stroke survivors and their families and any person involved in stroke in a personal or professional way.  We meet to socialise and learn new songs to sing and work towards performance in and around Greater Mancheste
St Paul's Church Heaton Moor,Community Group,Heaton Moor,St Paul's Church Heaton Moor,St Paul's Rd Heaton Moor Road,Heaton Moor,SK44RY,TRUE,Monday,,,,,,,,,FALSE,,,,,,,Educational,ONE OF THE OLDEST LITERARY AND PHILOSOPHICAL SOCIETIES IN THE COUNTRY THE HEATON CHAPEL LITERARY AND PHILOSOPHICAL SOCIETY AIMS TO DELIVER HIGH QUALITY ILLUSTRATED LECTURES ON GENERAL INTEREST TOPICS COVERING BROAD THEMES SUCH AS EXPLORING ARCHITECTURE
Crescent Road Day Centre,Community Group,Portwood,Crescent Road Community Centre,Crescent Road,Portwood Brinnington,SK12QQ,TRUE,,,,,,Saturday,,,,FALSE,,,,,,Creative,,
