TYPE,Region,Venue,Street,Locality,POSTCODE,DAY,INDOOR,Type,NDF,Details,Location
HEALTH,Portwood,Kershaw Tannery,First Floor,Water St,SK12BP,MONDAY,FALSE,Sports Or Cultural Organisation,TRUE,Ballroom And Latin Dance Classes,Kershaw Tannery
HEALTH,Heaton Norris,Christ With All Saints' Church,All Saints Road,Heaton Norris,SK41QA,MONDAY,TRUE,Community Group,FALSE,Monday: 7:30Am - Morning Prayer 12:30Pm Sunbeams Tots And Carers Group. Tuesday: 7:30Pm - 'Kaleidoscope' Prayer Group (2Nd And 4Th Tuesday Of Each Month) Wednesday: 7:30Am - Morning Prayer 6Pm ? 7Pm - Beavers 7Pm ? 8Pm Cubs 12:30-3:00Pm - Children'S,Christ With All Saints' Church
EDUCATIONAL,Heaton Norris,Elm Cottage Day Nursery Heaton Norris,11 Crescent Park,Heaton Norris,SK42HS,MONDAY,TRUE,Business,FALSE,Child Care 3 Months To 5 Years. After-School Care For School-Age Children Aged 5-11 Years. Also Holiday Play Schemes. 2Nd Nursery At Orrishmere Primary School Cheadle Hulme. 3Rd Nursery At Thorn Grove Primary School Cheadle Hulme.,Elm Cottage Day Nursery Heaton Norris
HEALTH,Heaton Moor,Charnwood,St Paul'S Road,Heaton Moor,SK44RY,MONDAY,TRUE,Charitable Trust Or Foundation,FALSE,Every Afternoon From 1.30Pm To 3.15Pm We Run An Inclusive Opportunity Group For Parent(S) And Their Children Under 3 Years. On A Weekly Basis Parents And Carers Join In With Their Children In These ?Stay And Play? Sessions. The Emphasis Is On Play; The,Charnwood Nursery
EDUCATIONAL,Heaton Moor,St Paul'S Church Heaton Moor,St Paul'S Rd Heaton Moor Road,Heaton Moor,SK44RY,MONDAY,FALSE,Community Group,FALSE,Provides Warm And Caring Environment For Children To Learn Through Play. Children Accepted From Approx. 2Years 9 Months.,St Paul'S Church Heaton Moor
SOCIAL,Heaton Moor,Norris Bank Primary School,Green Lane,Heaton Moor,SK45JD,MONDAY,FALSE,Community Group,FALSE,Care For Children Aged 4-11Yrs Old After School.,Norris Bank Primary School
HEALTH,Reddish,Unit 33M Vauxhall Industrial Estate,Greg Street,Reddish,SK57BR,MONDAY,TRUE,Charitable Organisation,FALSE,Socially Inclusive Arts Organisation For Adults With Mental Illness.,Arc
CREATIVE,Brinnington,Crescent Road Community Centre,Crescent Road,Portwood Brinnington,SK12QQ,MONDAY,TRUE,Community Group,TRUE,The Stroke Community Choir Is Open All Stroke Survivors And Their Families And Any Person Involved In Stroke In A Personal Or Professional Way.  We Meet To Socialise And Learn New Songs To Sing And Work Towards Performance In And Around Greater Mancheste,Crescent Road Community Centre
EDUCATIONAL,Heaton Moor,St Paul'S Church Heaton Moor,St Paul'S Rd Heaton Moor Road,Heaton Moor,SK44RY,MONDAY,TRUE,Community Group,FALSE,One Of The Oldest Literary And Philosophical Societies In The Country The Heaton Chapel Literary And Philosophical Society Aims To Deliver High Quality Illustrated Lectures On General Interest Topics Covering Broad Themes Such As Exploring Architecture,St Paul'S Church Heaton Moor
CREATIVE,Portwood,Crescent Road Community Centre,Crescent Road,Portwood Brinnington,SK12QQ,SATURDAY,TRUE,Community Group,FALSE,,Crescent Road Day Centre
