Location,Venue,Postcode,indoor,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Details
Kershaw Tannery,Kershaw Tannery,SK12BP,FALSE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,Ballroom and Latin dance classes
Christ with All Saints' Church,Christ with All Saints' Church,SK41QA,TRUE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday: 7:30am - Morning Prayer 12:30pm Sunbeams tots and carers group. Tuesday: 7:30pm - 'Kaleidoscope' Prayer Group (2nd and 4th Tuesday of each month) Wednesday: 7:30am - Morning Prayer 6pm ? 7pm - Beavers 7pm ? 8pm Cubs 12:30-3:00pm - Children's
Elm Cottage Day Nursery Heaton Norris,Elm Cottage Day Nursery Heaton Norris,SK42HS,TRUE,Monday,Tuesday,Wednesday,Thursday,Friday,,,Child care 3 months to 5 years. After-school care for school-age children aged 5-11 years. Also holiday play schemes. 2nd nursery at Orrishmere Primary School Cheadle Hulme. 3rd nursery at Thorn Grove Primary School Cheadle Hulme.
Charnwood Nursery,Charnwood,SK44RY,TRUE,Monday,Tuesday,Wednesday,Thursday,Friday,,,Every afternoon from 1.30pm to 3.15pm we run an inclusive Opportunity Group for parent(s) and their children under 3 years. On a weekly basis parents and carers join in with their children in these ?stay and play? sessions. The emphasis is on play; the
St Paul's Church Heaton Moor,St Paul's Church Heaton Moor,SK44RY,FALSE,Monday,Tuesday,Wednesday,Thursday,Friday,,,Provides warm and caring environment for children to learn through play. Children accepted from approx. 2years 9 months.
Norris Bank Primary School,Norris Bank Primary School,SK45JD,FALSE,Monday,Tuesday,Wednesday,Thursday,Friday,,,Care for children aged 4-11yrs old after school.
ARC,Unit 33m Vauxhall Industrial Estate,SK57BR,TRUE,Monday,Tuesday,Wednesday,Thursday,Friday,,,Socially inclusive Arts organisation for adults with mental illness.
Crescent Road Community Centre,Crescent Road Community Centre,SK12QQ,TRUE,Monday,,,,,,,The Stroke Community Choir is open all stroke survivors and their families and any person involved in stroke in a personal or professional way.  We meet to socialise and learn new songs to sing and work towards performance in and around Greater Mancheste
St Paul's Church Heaton Moor,St Paul's Church Heaton Moor,SK44RY,TRUE,Monday,,,,,,,ONE OF THE OLDEST LITERARY AND PHILOSOPHICAL SOCIETIES IN THE COUNTRY THE HEATON CHAPEL LITERARY AND PHILOSOPHICAL SOCIETY AIMS TO DELIVER HIGH QUALITY ILLUSTRATED LECTURES ON GENERAL INTEREST TOPICS COVERING BROAD THEMES SUCH AS EXPLORING ARCHITECTURE
Crescent Road Day Centre,Crescent Road Community Centre,SK12QQ,TRUE,,,,,,Saturday,,
Christ with All Saints' Church Heaton Norris,Christ with all Saints' Parish Church,SK41QA,TRUE,,,,,,Saturday,,Free hotpot supper for anyone who wants to meet new people make new friends or just have a nutritious meal they don't have to cook!
Stockport Labour Club,Stockport Labour Club,SK41QP,TRUE,Monday,,,,,,,Growing bonsai trees is a creative hobby which is enjoyed by a large range of people and it is satisfying to create a bonsai over time from seed cuttings garden plants shrubs and trees and so on.  Meetings at Stockport Labour Club on the 2nd Monday
Heatons Sports Club,Heatons Sports Club,SK42NF,TRUE,,,Wednesday,,,,,Outdoor trips once a month on Saturdays by coach (?15 for members ?20 for non-members) except in July and August. Novice and experienced bird watchers.
signpost for carers - The heaton's centre - heaton moor,The Heaton Centre,SK43LD,TRUE,,,Wednesday,,,,,This chair-based yoga class is designed around the needs of carers of people with dementia. It focuses on both health and wellbeing with time to de-stress and get time for yourself to heal and renew. There is a suggestion of ?3 donation but all welcome
Heaton Moor United Church,Heaton Moor United Church,SK44HL,TRUE,,,,,,,,Group painting and/or drawing sessions; self help/shared advice not tuition.
